CGPA,backlogs,internships,projects,certifications,coding_score,communication_score,specialization,placed
7.185430534813131,1,0,3,2,68.03968581770818,73.697224316129,Information Technology,1
9.778214378844623,0,0,4,0,100.0,67.5272523932093,Computer Science,1
8.793972738151323,0,0,2,3,61.768285759149165,75.24167377642698,Mechanical,1
8.193963178886666,0,0,1,2,30.598563165182497,58.375276030662995,Computer Science,1
6.202083881990964,0,0,2,3,67.11458769214556,52.420807041043936,Mechanical,1
6.201975341512912,1,0,3,0,38.399667516813885,26.726788610191655,Computer Science,0
5.761376254756898,3,0,2,1,53.33431755511417,46.006096414513145,Computer Science,0
9.397792655987208,0,0,2,1,72.44379407681734,70.28155422273399,Electronics,1
8.20501755284444,0,0,1,0,58.53893688589207,58.98306784490936,Civil,0
8.686326600082204,0,0,3,1,39.82859754878317,57.07056638699833,Mechanical,1
5.592630224331111,0,2,3,0,45.60539671945733,55.60252355204722,Civil,0
9.864594334728974,0,1,1,3,46.48863791204329,83.5425240148695,Computer Science,1
9.245991883601897,0,1,2,0,70.6747539157228,57.55067194554553,Computer Science,1
6.455525998052242,0,2,2,1,40.656066976984036,68.4107140916982,Mechanical,1
6.318212352431953,0,0,2,3,25.10141371480853,65.89611063980965,Computer Science,0
6.325320294340452,2,0,2,2,59.166053011338334,56.53187261600021,Civil,0
6.8690900933179195,1,0,3,2,41.13713736391739,42.71624691407706,Computer Science,0
7.861403942345071,4,0,0,1,53.92276096420995,61.28021818539327,Electronics,0
7.443752583889521,0,0,2,1,47.37563774644241,58.97826723290134,Information Technology,1
6.810531130891189,0,1,1,1,60.46752609849776,70.68685627040365,Electronics,1
8.253338026250708,0,0,1,0,67.1810693481654,54.837984427585965,Computer Science,1
6.127722372934189,0,3,2,0,52.49388752226395,39.51259157134502,Computer Science,1
6.814650918408482,0,1,1,2,48.78404046908539,45.68915667285957,Computer Science,0
7.148628294821613,0,1,1,1,46.453883846117314,54.66147498142177,Electronics,0
7.552314928976662,0,0,2,0,42.30209329466323,54.07839433095829,Computer Science,1
9.033291826268561,0,0,5,1,66.10857131296916,67.1876695711863,Information Technology,1
6.3985320197126185,0,0,3,2,59.733344563412416,48.94485739773146,Computer Science,1
7.814054972861252,0,0,1,0,78.52549497939754,49.459272079546714,Computer Science,1
8.16586555987919,0,1,2,1,66.68040500920733,51.93187291271385,Electronics,1
5.70902685723999,0,0,2,1,56.12526419345,45.91611361224725,Mechanical,0
8.233951833556473,1,0,1,1,55.875965621761466,58.08849751474783,Computer Science,1
6.267358556592812,0,1,1,1,53.65199954656214,56.01568797528757,Computer Science,1
5.792732168433758,1,0,1,1,19.18943123026596,54.59915440230328,Mechanical,0
9.769984917639999,0,1,2,0,59.18727192633524,68.57092576603786,Mechanical,1
9.845344148835517,0,1,3,0,79.67073907365115,50.92070097757013,Electronics,1
9.137788066524076,1,0,2,1,73.34813137249202,46.16789858222518,Information Technology,1
6.870761961280168,0,1,5,0,55.83363021089335,51.62751947510931,Computer Science,1
5.9395245130287275,0,2,1,3,29.997175927991837,52.7393832200933,Information Technology,1
8.579048619304706,2,0,5,1,70.04328650320497,71.82978521490108,Information Technology,1
7.480686221828206,0,0,2,1,51.19000871833648,44.97072577592499,Computer Science,1
6.049172056801504,0,0,1,1,57.53323636269399,54.063296271870236,Mechanical,0
7.728296095500716,1,1,4,1,72.08114005616056,74.647422142184,Information Technology,1
5.654748345018483,0,1,2,0,65.86193080448187,58.19376396593862,Information Technology,1
9.59194180935452,0,0,2,0,80.2851801503293,70.75415731904019,Information Technology,1
6.664509917200077,0,0,1,1,46.033299194565835,65.50634517790535,Electronics,0
8.481350279592919,1,2,1,2,62.59047568486997,69.56437221273181,Computer Science,1
6.902699842402349,0,0,5,2,86.9264471214773,59.88624272441882,Electronics,1
7.840306095300148,0,1,2,2,53.39720679844754,59.829408384347566,Information Technology,1
7.960196257044759,0,1,5,3,69.90011680213807,78.28284626444153,Electronics,1
6.331845049864872,2,0,2,4,50.60667672264115,53.48201181454742,Information Technology,0
9.863130824940512,0,1,1,4,65.51489460455375,58.94916599478671,Computer Science,1
8.988097705125016,1,0,1,1,50.4512615833636,50.699155563611,Computer Science,0
9.727745237038851,0,2,2,0,83.33997045444855,64.65145468934823,Information Technology,1
9.52672307692442,0,0,1,0,52.627427307060145,45.45704168997562,Computer Science,1
8.190549904649883,1,0,3,5,85.2494538316929,70.99886498624237,Mechanical,1
9.648434057604025,3,1,1,0,83.90670154480327,80.11203038028039,Computer Science,1
5.898216259233638,0,1,3,0,54.50181668236503,61.41199202443455,Electronics,1
6.381922880886154,0,0,3,1,53.97728015154597,50.474383365969054,Information Technology,0
5.703522800097422,2,0,1,2,35.19389230638481,37.08240599153943,Computer Science,0
6.963986488434689,0,0,3,3,57.67131432825042,46.24259770202204,Computer Science,1
7.249047803602669,0,0,3,1,71.20649950934762,58.019359834277225,Civil,1
6.721070642982531,0,1,2,0,44.3945685636328,51.146696323874004,Computer Science,1
9.229318791183683,1,0,2,2,82.7611771729162,59.7845362229126,Information Technology,1
7.105389970121152,1,1,2,1,66.82764296249337,43.49201974950377,Information Technology,0
6.764205293593213,2,1,3,0,54.547747319581156,45.33021006587647,Electronics,0
7.942132374212118,0,2,1,3,65.26384269572712,57.75482987779529,Civil,1
6.134159012386432,0,1,2,1,38.71967963004495,64.08777551132437,Electronics,0
9.109886413393179,0,0,1,0,60.31325286271221,61.64404500902861,Information Technology,1
5.835477896558968,0,0,2,0,74.78095104675148,40.42366166721994,Civil,0
9.940991214702327,0,2,1,0,80.03383289402029,66.73541578102156,Electronics,1
8.975101461834958,0,2,2,2,69.8550802760279,80.90406180247732,Computer Science,1
6.394220566903776,0,0,2,1,51.798531364091936,57.0568391931806,Computer Science,1
5.524849527056211,0,2,1,1,42.73366975838066,44.83537517936079,Mechanical,0
9.169576428046753,0,1,1,0,61.50280539894075,65.13777489639016,Computer Science,1
8.680858047314278,1,2,2,1,53.11955155326255,67.28727478800099,Computer Science,1
8.780532256184443,0,1,3,0,73.7274858766968,69.88645423441673,Electronics,1
8.970716560086757,0,2,2,1,76.38637998170508,55.436294939034795,Computer Science,1
5.833200932803407,0,2,1,1,42.140370605089146,51.31749773221073,Mechanical,0
7.113095778449226,1,0,1,2,57.1742758925685,62.66475123312677,Computer Science,0
6.021410767863084,0,2,3,2,43.37525226150916,64.3060340375213,Computer Science,1
9.383965416440171,0,0,2,0,65.11896426869579,54.46252576978514,Information Technology,1
8.304841570724012,0,0,1,0,47.36955469042907,61.234369995493275,Information Technology,1
6.989041111836921,0,1,3,1,54.22165734272689,51.447087480079276,Information Technology,1
5.786012576287106,1,1,1,1,46.36285775785258,55.58933203207683,Information Technology,0
6.89942044772048,0,2,0,2,54.75035002439246,67.46910302608114,Computer Science,1
6.963324949120362,0,0,1,2,43.46514042326719,44.691869674216036,Information Technology,0
