CGPA,backlogs,internships,projects,certifications,coding_score,communication_score,specialization,placed
8.119,0,1,3,0,92.5,74.0,Computer Science,1
5.933,2,0,0,1,42.0,70.0,Information Technology,0
8.917,0,0,0,0,47.0,70.0,Information Technology,1
7.140000000000001,0,1,0,1,42.0,74.0,Computer Science,1
6.6579999999999995,1,1,0,1,42.0,63.0,Information Technology,0
8.449,0,0,2,0,74.0,64.5,Computer Science,1
7.987,0,0,1,1,65.5,64.5,Computer Science,1
7.665000000000001,0,0,1,0,70.5,53.5,Computer Science,1
7.689,0,1,0,0,47.0,79.5,Information Technology,1
7.303,0,0,2,0,74.0,64.5,Computer Science,1
6.927,1,0,0,0,42.0,70.0,Computer Science,0
8.844,0,0,0,0,42.0,53.5,Information Technology,1
6.5,1,0,1,1,50.5,75.5,Information Technology,0
6.531999999999999,1,1,1,0,70.5,63.0,Computer Science,1
9.083,0,0,1,0,50.5,75.5,Information Technology,1
8.399,0,1,0,1,42.0,74.0,Information Technology,1
8.971,0,0,2,0,74.0,64.5,Computer Science,1
6.714,1,0,0,0,47.0,59.0,Information Technology,0
7.851000000000001,0,0,0,1,42.0,70.0,Computer Science,1
7.066,0,0,2,1,74.0,59.0,Computer Science,1
6.758,1,1,1,0,75.5,63.0,Computer Science,1
8.336,0,1,0,0,42.0,74.0,Information Technology,1
7.392,0,1,1,0,50.5,68.5,Information Technology,1
7.962999999999999,0,0,1,0,70.5,59.0,Computer Science,1
6.459999999999999,1,0,0,0,42.0,70.0,Computer Science,0
7.218000000000001,0,1,1,1,65.5,63.0,Computer Science,1
6.505,1,0,1,0,70.5,59.0,Computer Science,0
6.462999999999999,1,0,0,0,42.0,53.5,Information Technology,0
6.343999999999999,1,0,0,0,42.0,70.0,Information Technology,0
8.659,0,0,0,0,67.0,48.0,Computer Science,1
7.377,0,1,1,1,60.5,63.0,Computer Science,1
7.9670000000000005,0,0,1,1,55.5,53.5,Computer Science,1
7.973000000000001,0,0,1,0,50.5,64.5,Information Technology,1
7.748,0,1,2,1,74.0,68.5,Computer Science,1
6.4670000000000005,1,0,0,1,47.0,53.5,Information Technology,0
7.228,0,1,0,0,42.0,57.5,Information Technology,1
8.934999999999999,0,0,0,0,42.0,64.5,Computer Science,1
6.348,1,0,0,1,47.0,75.5,Information Technology,0
6.854000000000001,1,0,1,1,70.5,70.0,Computer Science,0
7.920999999999999,0,0,1,1,50.5,70.0,Information Technology,1
7.205,0,0,1,0,50.5,75.5,Information Technology,1
7.683,0,1,1,0,50.5,63.0,Information Technology,1
6.163,1,0,1,0,70.5,64.5,Computer Science,0
6.14,1,0,0,0,42.0,64.5,Information Technology,0
6.779999999999999,1,0,0,1,47.0,70.0,Information Technology,0
6.831,1,0,0,0,42.0,70.0,Computer Science,0
6.4510000000000005,1,0,1,0,45.5,64.5,Information Technology,0
6.556,1,1,0,0,42.0,74.0,Computer Science,0
8.458,0,0,2,1,69.0,70.0,Computer Science,1
7.098000000000001,0,0,0,0,42.0,64.5,Information Technology,0
8.635,0,2,0,0,47.0,78.0,Information Technology,1
7.868,0,0,1,1,50.5,64.5,Information Technology,1
8.166,0,1,2,0,74.0,68.5,Computer Science,1
8.902,0,0,2,1,79.0,53.5,Computer Science,1
7.079000000000001,0,2,1,0,50.5,78.0,Information Technology,1
6.204,1,0,2,0,69.0,64.5,Computer Science,0
8.756,0,0,1,0,60.5,53.5,Computer Science,1
6.003,1,0,0,0,42.0,53.5,Information Technology,0
7.117,0,0,2,1,74.0,64.5,Computer Science,1
8.208,0,0,0,1,42.0,75.5,Information Technology,1
7.566,0,1,0,0,42.0,79.5,Computer Science,1
6.884,1,1,0,0,42.0,57.5,Information Technology,0
8.019,0,0,1,1,70.5,59.0,Computer Science,1
7.293000000000001,0,0,0,0,47.0,75.5,Information Technology,1
9.169,0,0,1,0,70.5,59.0,Computer Science,1
6.583,1,1,0,0,47.0,74.0,Information Technology,0
9.151,0,0,0,0,42.0,75.5,Information Technology,1
9.048,0,1,0,0,42.0,74.0,Information Technology,1
8.338,0,2,0,0,42.0,78.0,Computer Science,1
7.936,0,0,2,1,59.0,70.0,Computer Science,1
8.655,0,0,0,1,42.0,70.0,Information Technology,1
7.6930000000000005,0,0,2,0,74.0,59.0,Computer Science,1
8.469,0,0,1,0,50.5,64.5,Information Technology,1
7.31,0,0,0,0,52.0,64.5,Computer Science,1
7.822,0,0,0,0,42.0,64.5,Information Technology,1
7.946,0,1,1,1,50.5,57.5,Computer Science,1
9.190000000000001,0,0,2,1,79.0,59.0,Computer Science,1
6.289,1,0,1,0,50.5,70.0,Information Technology,0
7.206,0,0,1,0,45.5,81.0,Information Technology,1
8.2,0,0,0,1,47.0,70.0,Information Technology,1
9.193000000000001,0,0,1,1,55.5,59.0,Computer Science,1
6.024,1,0,1,1,45.5,70.0,Information Technology,0
6.7909999999999995,1,0,0,0,47.0,48.0,Information Technology,0
8.981,0,0,0,0,42.0,64.5,Information Technology,1
6.393,1,0,0,1,42.0,75.5,Computer Science,0
7.94,0,0,1,1,60.5,53.5,Computer Science,1
7.4510000000000005,0,1,2,0,69.0,63.0,Computer Science,1
8.468,0,0,0,1,42.0,70.0,Computer Science,1
6.449,1,0,0,1,42.0,75.5,Information Technology,0
8.553,0,0,1,0,45.5,70.0,Computer Science,1
7.6049999999999995,0,0,0,0,42.0,64.5,Information Technology,0
8.439,0,1,0,0,42.0,68.5,Computer Science,1
6.456999999999999,1,0,2,0,84.0,64.5,Computer Science,1
8.673,0,0,0,1,42.0,70.0,Information Technology,1
5.87,2,0,1,1,50.5,70.0,Information Technology,0
7.959999999999999,0,1,1,0,65.5,63.0,Computer Science,1
7.795,0,0,0,0,42.0,53.5,Computer Science,0
6.139,1,0,0,0,42.0,70.0,Information Technology,0
7.929,0,0,2,1,64.0,70.0,Computer Science,1
6.925,1,0,1,1,65.5,64.5,Computer Science,0
8.995000000000001,0,0,2,1,64.0,59.0,Computer Science,1
8.734,0,1,1,1,50.5,79.5,Information Technology,1
9.131,0,1,0,0,42.0,68.5,Computer Science,1
9.1,0,0,1,0,45.5,64.5,Information Technology,1
6.286,1,0,1,1,65.5,64.5,Computer Science,0
6.559,1,0,0,0,42.0,70.0,Computer Science,0
7.1450000000000005,0,0,0,1,42.0,75.5,Information Technology,1
9.058,0,0,0,1,42.0,70.0,Computer Science,1
7.151999999999999,0,0,2,1,100.0,64.5,Computer Science,1
5.986,2,0,1,0,50.5,59.0,Information Technology,0
7.093000000000001,0,0,2,0,84.0,64.5,Computer Science,1
5.996,2,1,1,0,75.5,68.5,Computer Science,0
7.244,0,0,2,0,79.0,59.0,Computer Science,1
8.035,0,0,2,0,69.0,64.5,Computer Science,1
7.772,0,0,0,0,42.0,59.0,Information Technology,0
7.369,0,0,0,0,42.0,64.5,Information Technology,0
7.173,0,0,2,1,69.0,64.5,Computer Science,1
6.947,1,1,0,1,42.0,74.0,Information Technology,0
8.794,0,1,1,1,60.5,68.5,Computer Science,1
8.481,0,0,1,0,60.5,53.5,Computer Science,1
7.089,0,1,1,0,45.5,68.5,Information Technology,1
8.598,0,1,2,0,64.0,68.5,Computer Science,1
8.298,0,0,3,0,67.5,59.0,Computer Science,1
9.192,0,0,0,1,42.0,70.0,Computer Science,1
9.103,0,2,0,1,42.0,78.0,Information Technology,1
8.239,0,0,1,1,80.5,70.0,Computer Science,1
6.4319999999999995,1,0,2,1,69.0,64.5,Computer Science,0
8.221,0,0,0,0,42.0,70.0,Computer Science,1
8.983,0,2,0,0,42.0,78.0,Computer Science,1
7.159999999999999,0,0,1,0,50.5,64.5,Information Technology,1
7.220999999999999,0,0,2,0,69.0,64.5,Computer Science,1
8.806000000000001,0,0,0,0,42.0,64.5,Computer Science,1
5.894,2,0,0,1,42.0,70.0,Computer Science,0
8.245000000000001,0,0,3,0,72.5,59.0,Computer Science,1
5.862,2,1,0,0,47.0,79.5,Information Technology,0
6.789,1,0,0,0,42.0,59.0,Information Technology,0
8.940999999999999,0,1,0,1,42.0,79.5,Information Technology,1
6.918000000000001,1,0,1,1,70.5,70.0,Computer Science,0
6.202,1,0,0,1,42.0,59.0,Information Technology,0
8.256,0,0,0,0,42.0,64.5,Information Technology,1
6.288,1,0,2,1,74.0,59.0,Computer Science,0
8.757,0,0,1,1,90.5,64.5,Computer Science,1
8.33,0,0,2,0,79.0,70.0,Computer Science,1
6.207,1,0,0,0,47.0,64.5,Information Technology,0
8.869,0,0,0,0,42.0,53.5,Computer Science,1
9.199,0,0,2,1,79.0,59.0,Computer Science,1
7.2379999999999995,0,1,2,0,74.0,68.5,Computer Science,1
6.196,1,2,0,0,47.0,61.5,Information Technology,0
7.4159999999999995,0,0,1,0,70.5,59.0,Computer Science,1
7.534000000000001,0,0,1,1,70.5,59.0,Computer Science,1
6.4670000000000005,1,0,1,0,75.5,53.5,Computer Science,0
6.581999999999999,1,0,1,0,70.5,59.0,Computer Science,0
7.858,0,0,0,0,42.0,64.5,Information Technology,1
8.263,0,1,1,0,50.5,74.0,Information Technology,1
8.469,0,0,1,0,85.5,64.5,Computer Science,1
8.936,0,0,0,0,47.0,64.5,Information Technology,1
8.544,0,2,1,0,80.5,67.0,Computer Science,1
8.748999999999999,0,0,0,0,42.0,64.5,Information Technology,1
6.383,1,1,0,1,42.0,74.0,Computer Science,0
7.37,0,0,0,1,47.0,64.5,Information Technology,1
8.652,0,0,2,1,79.0,70.0,Computer Science,1
6.425,1,1,0,0,42.0,74.0,Computer Science,0
9.053,0,0,0,0,42.0,64.5,Computer Science,1
6.114,1,1,1,0,50.5,85.0,Information Technology,0
9.01,0,0,0,0,42.0,53.5,Information Technology,1
6.285,1,1,0,0,42.0,74.0,Computer Science,0
5.822,2,0,2,0,74.0,64.5,Computer Science,0
6.931,1,0,0,1,42.0,70.0,Computer Science,0
8.945,0,1,2,1,74.0,68.5,Computer Science,1
7.1290000000000004,0,0,1,1,45.5,75.5,Information Technology,1
7.997,0,0,0,0,42.0,64.5,Information Technology,1
6.081,1,0,1,1,90.5,70.0,Computer Science,1
7.986,0,0,0,1,42.0,59.0,Computer Science,1
8.971,0,1,0,0,67.0,57.5,Computer Science,1
7.375,0,1,0,0,42.0,74.0,Computer Science,1
7.764,0,1,2,0,89.0,68.5,Computer Science,1
9.095,0,0,1,2,50.5,70.0,Information Technology,1
6.254,1,1,1,0,50.5,74.0,Information Technology,0
6.2780000000000005,1,1,1,1,60.5,74.0,Computer Science,0
6.837999999999999,1,0,2,1,69.0,70.0,Computer Science,1
8.08,0,0,1,0,80.5,64.5,Computer Science,1
6.428,1,1,0,1,47.0,68.5,Information Technology,0
6.840999999999999,1,1,0,1,42.0,74.0,Information Technology,0
8.947,0,0,1,1,80.5,75.5,Computer Science,1
6.595000000000001,1,0,0,0,67.0,53.5,Computer Science,0
6.246,1,0,1,1,50.5,70.0,Information Technology,0
6.206,1,0,0,0,42.0,53.5,Information Technology,0
9.177,0,0,1,1,85.5,70.0,Computer Science,1
7.837000000000001,0,1,0,0,42.0,63.0,Information Technology,1
7.056,0,0,0,1,42.0,75.5,Computer Science,0
8.120000000000001,0,0,2,0,79.0,59.0,Computer Science,1
6.229,1,0,2,1,54.0,70.0,Information Technology,0
7.067,0,1,0,0,42.0,74.0,Information Technology,1
5.955,2,0,1,0,50.5,64.5,Information Technology,0
8.515,0,0,0,0,42.0,70.0,Information Technology,1
5.93,2,0,1,0,65.5,64.5,Computer Science,0
6.559,1,0,0,0,42.0,70.0,Computer Science,0
8.047,0,1,0,0,42.0,79.5,Information Technology,1
6.069,1,1,1,0,65.5,63.0,Computer Science,0
7.565,0,0,1,1,65.5,53.5,Computer Science,1
7.295,0,0,0,0,42.0,59.0,Computer Science,0
7.188,0,0,2,0,100.0,64.5,Computer Science,1
7.202,0,0,0,1,42.0,64.5,Computer Science,0
9.119,0,2,0,1,42.0,78.0,Computer Science,1
7.656000000000001,0,0,0,1,57.0,53.5,Computer Science,1
6.6370000000000005,1,1,0,1,42.0,74.0,Information Technology,0
8.955,0,0,0,0,42.0,64.5,Information Technology,1
9.104000000000001,0,0,0,0,42.0,64.5,Computer Science,1
6.898000000000001,1,0,0,1,47.0,53.5,Computer Science,0
7.837000000000001,0,0,2,0,84.0,64.5,Computer Science,1
7.956,0,1,0,1,42.0,74.0,Computer Science,1
8.65,0,2,0,1,42.0,83.5,Information Technology,1
8.201,0,0,0,0,47.0,64.5,Information Technology,1
8.572,0,0,1,0,75.5,48.0,Computer Science,1
8.178,0,0,1,0,75.5,64.5,Computer Science,1
8.044,0,0,0,0,42.0,75.5,Information Technology,1
7.965999999999999,0,0,0,1,42.0,64.5,Information Technology,1
8.049,0,0,1,1,70.5,64.5,Computer Science,1
6.223,1,0,0,0,42.0,64.5,Computer Science,0
7.906000000000001,0,0,1,0,65.5,64.5,Computer Science,1
8.369,0,0,0,0,47.0,70.0,Information Technology,1
8.288,0,0,0,1,47.0,53.5,Information Technology,1
8.943000000000001,0,1,1,1,60.5,74.0,Computer Science,1
5.953,2,1,1,0,70.5,63.0,Computer Science,0
6.148,1,2,0,1,42.0,83.5,Computer Science,0
8.940999999999999,0,1,0,1,52.0,63.0,Computer Science,1
8.164,0,0,0,0,47.0,75.5,Information Technology,1
5.856,2,0,1,0,60.5,59.0,Computer Science,0
6.515000000000001,1,1,0,0,42.0,57.5,Information Technology,0
6.811,1,0,0,0,42.0,64.5,Computer Science,0
8.075,0,0,0,0,67.0,53.5,Computer Science,1
9.087,0,0,1,0,45.5,70.0,Information Technology,1
8.431999999999999,0,0,0,1,42.0,75.5,Information Technology,1
6.978,1,2,1,1,95.5,78.0,Computer Science,1
8.216,0,0,0,1,42.0,64.5,Information Technology,1
5.943,2,1,1,0,60.5,68.5,Computer Science,0
8.354000000000001,0,0,0,1,42.0,70.0,Information Technology,1
8.334999999999999,0,1,0,0,77.0,63.0,Computer Science,1
6.6049999999999995,1,0,1,1,85.5,64.5,Computer Science,1
8.851,0,1,1,0,50.5,63.0,Information Technology,1
7.634,0,0,0,0,42.0,70.0,Information Technology,1
7.962999999999999,0,1,0,1,42.0,79.5,Information Technology,1
5.807,2,0,0,1,42.0,75.5,Computer Science,0
9.192,0,0,1,0,45.5,70.0,Information Technology,1
7.039,0,1,1,0,75.5,68.5,Computer Science,1
